date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:43	1271/1271	---MCZ	200	added ('OK')	image/png	etag:W/%225ac1cf50-4f7%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_sqq.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_sqq.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:43	1381/1381	---MCZ	200	added ('OK')	image/png	etag:W/%225ac1cf50-565%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_weixina.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_weixina.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:43	1277/1277	---MCZ	200	added ('OK')	image/png	etag:W/%225ac1cf50-4fd%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_weixin.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_weixin.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:44	1428/1428	---MCZ	200	added ('OK')	image/png	etag:W/%2263fee5a9-594%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_twittera.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_twittera.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:44	1440/1440	---MCZ	200	added ('OK')	image/png	etag:W/%2263fee5a9-5a0%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_twitter.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_twitter.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:44	1365/1365	---MCZ	200	added ('OK')	image/png	etag:W/%2263fee5a9-555%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_facebooka.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_facebooka.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:45	1369/1369	---MCZ	200	added ('OK')	image/png	etag:W/%2263fee5a9-559%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_facebook.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_facebook.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:45	1378/1378	---MCZ	200	added ('OK')	image/png	etag:W/%225ac1cf50-562%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_tqqa.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_tqqa.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:45	1289/1289	---MCZ	200	added ('OK')	image/png	etag:W/%225ac1cf50-509%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_tqq.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_tqq.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:46	1374/1374	---MCZ	200	added ('OK')	image/png	etag:W/%225ac1cf50-55e%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_qzonea.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_qzonea.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:46	1283/1283	---MCZ	200	added ('OK')	image/png	etag:W/%225ac1cf50-503%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_qzone.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_qzone.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:46	1386/1386	---MCZ	200	added ('OK')	image/png	etag:W/%225ac1cf50-56a%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_bdhomea.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_bdhomea.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:47	1293/1293	---MCZ	200	added ('OK')	image/png	etag:W/%225ac1cf50-50d%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_bdhome.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_bdhome.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:47	1343/1343	---MCZ	200	added ('OK')	image/png	etag:W/%225ac1cf50-53f%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_doubana.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_doubana.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:48	1241/1241	---MCZ	200	added ('OK')	image/png	etag:W/%225ac1cf50-4d9%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_douban.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_douban.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:48	1386/1386	---MCZ	200	added ('OK')	image/png	etag:W/%225ac1cf50-56a%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_kaixin001a.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_kaixin001a.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:49	1308/1308	---MCZ	200	added ('OK')	image/png	etag:W/%225ac1cf50-51c%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_kaixin001.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_kaixin001.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:50	43/43	---M--	200	added ('OK')	image/gif	etag:%2251e62f22-2b%22	http://static.tieba.baidu.com/tb/pms/img/st.gif??	D:/WebSite/kycmetal/static.tieba.baidu.com/tb/pms/img/std145.gif	(from http://static.websiteonline.cn/website/script/webuploader/webuploader.js)
